timestamp,thrust,z,torque_x,torque_y,torque_z,roll,pitch,yaw,p,q,r,vx,vy,vz,mass,inertia_xx,inertia_yy,inertia_zz,trajectory_id
0.74,1.322618007659912,-1.467525601387024,6.166481398395263e-06,-4.184714271104895e-06,6.229697646631394e-06,0.07143182307481766,-0.03692429140210152,0.03485521301627159,0.10317518562078476,-0.05036567151546478,0.052510250359773636,0.0,0.0,-4.95802116394043,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.75,1.3224724531173706,-1.5122300386428833,6.0578895499929786e-06,-4.140401870245114e-06,6.184900485095568e-06,0.07229018211364746,-0.03737987205386162,0.03526589646935463,0.10231932252645493,-0.04991142451763153,0.05210086330771446,0.0,0.0,-5.040600776672363,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.76,1.3223237991333008,-1.5574713945388794,5.949831574980635e-06,-4.096395969099831e-06,6.1411083152052015e-06,0.07314084470272064,-0.037831567227840424,0.03567279502749443,0.10147151350975037,-0.04946121945977211,0.05169530585408211,0.0,0.0,-5.122872829437256,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.77,1.3221721649169922,-1.6032315492630005,5.843124199600425e-06,-4.05276068704552e-06,6.098287940403679e-06,0.07398378103971481,-0.038279373198747635,0.03607596829533577,0.1006317213177681,-0.04901505634188652,0.051293544471263885,0.0,0.0,-5.204812526702881,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.78,1.3220182657241821,-1.6494961977005005,5.738103936892003e-06,-4.009481472166954e-06,6.056374786567176e-06,0.07481906563043594,-0.03872329369187355,0.03647540882229805,0.09979990869760513,-0.04857292398810387,0.05089554563164711,0.0,0.0,-5.286400318145752,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.79,1.3218623399734497,-1.6962472200393677,5.635165052808588e-06,-3.96663972423994e-06,6.015271992509952e-06,0.07564670592546463,-0.039163339883089066,0.03687116131186485,0.0989760160446167,-0.048134803771972656,0.05050127953290939,0.0,0.0,-5.367615699768066,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.8,1.321704626083374,-1.7434769868850708,5.534673164220294e-06,-3.924246811948251e-06,5.974979103484657e-06,0.07646674662828445,-0.039599526673555374,0.037263259291648865,0.09815998375415802,-0.0477006658911705,0.05011071264743805,0.0,0.0,-5.4484405517578125,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.81,1.3215458393096924,-1.7911673784255981,5.4368251767300535e-06,-3.882351848005783e-06,5.9354392760724295e-06,0.0772792249917984,-0.040031854063272476,0.03765173628926277,0.09735175967216492,-0.047270502895116806,0.04972380772233009,0.0,0.0,-5.528857707977295,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.8200000000000001,1.3213858604431152,-1.8393079042434692,5.3423236749949865e-06,-3.840952558675781e-06,5.896604307054076e-06,0.07808419317007065,-0.04046035185456276,0.03803661838173866,0.09655127674341202,-0.04684428125619888,0.04934052377939224,0.0,0.0,-5.608852863311768,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.8300000000000001,1.321225643157959,-1.88788902759552,5.251000857242616e-06,-3.8001030588930007e-06,5.8583691497915424e-06,0.07888169586658478,-0.04088501259684563,0.03841794282197952,0.09575844556093216,-0.04642198607325554,0.04896083101630211,0.0,0.0,-5.688411235809326,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.84,1.3210651874542236,-1.9368993043899536,5.1632218855957035e-06,-3.7598117614834337e-06,5.820806109113619e-06,0.07967174798250198,-0.04130587354302406,0.03879574313759804,0.09497323632240295,-0.046003587543964386,0.04858468472957611,0.0,0.0,-5.767523765563965,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.85,1.320905089378357,-1.9863282442092896,5.079492439108435e-06,-3.7200943552306853e-06,5.783794222224969e-06,0.08045443147420883,-0.04172293841838837,0.039170041680336,0.09419558942317963,-0.04558906331658363,0.04821205884218216,0.0,0.0,-5.846177577972412,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.86,1.320745587348938,-2.036168098449707,4.9995883273368236e-06,-3.6809888115385547e-06,5.747259820054751e-06,0.0812297835946083,-0.04213622957468033,0.039540886878967285,0.09342540055513382,-0.0451783761382103,0.04784291610121727,0.0,0.0,-5.9243669509887695,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.87,1.3205872774124146,-2.0864086151123047,4.92404342367081e-06,-3.642513092927402e-06,5.71121154280263e-06,0.08199786394834518,-0.042545780539512634,0.03990831598639488,0.09266259521245956,-0.044771499931812286,0.047477204352617264,0.0,0.0,-6.002085208892822,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.88,1.3204302787780762,-2.1370487213134766,4.8525771489948966e-06,-3.604650373745244e-06,5.675576630892465e-06,0.08275876939296722,-0.042951613664627075,0.04027235507965088,0.0919070765376091,-0.04436839744448662,0.047114890068769455,0.0,0.0,-6.079329490661621,0.068,6.86e-05,9.2e-05,0.0001366,0.0
